frame_start,frame_end,motion,best_action,max_sim,sim_diff,forward_sim,stop_sim,right_sim,query_norm
0,64,0.0856,rightv5,0.9927,0.0028,0.9852,0.9899,0.9927,92.22
10,74,0.1052,rightv5,0.9958,0.0150,0.9804,0.9808,0.9958,94.69
20,84,0.0931,rightv5,0.9927,0.0139,0.9777,0.9788,0.9927,92.93
30,94,0.1062,rightv5,0.9885,0.0012,0.9873,0.9780,0.9885,94.04
40,104,0.1159,forwardv5,0.9917,0.0014,0.9917,0.9818,0.9903,88.65
50,114,0.1296,forwardv5,0.9925,0.0108,0.9925,0.9793,0.9817,90.50
60,124,0.1492,forwardv5,0.9906,0.0130,0.9906,0.9776,0.9727,84.05
70,134,0.1233,forwardv5,0.9872,0.0225,0.9872,0.9647,0.9644,84.76
80,144,0.1425,forwardv5,0.9876,0.0136,0.9876,0.9641,0.9740,84.17
90,154,0.1391,forwardv5,0.9892,0.0201,0.9892,0.9655,0.9691,84.65
100,164,0.1410,forwardv5,0.9854,0.0242,0.9854,0.9599,0.9612,84.30
110,174,0.1541,forwardv5,0.9889,0.0259,0.9889,0.9606,0.9631,85.74
120,184,0.1379,forwardv5,0.9827,0.0238,0.9827,0.9578,0.9589,84.28
130,194,0.1294,forwardv5,0.9794,0.0093,0.9794,0.9617,0.9701,80.43
140,204,0.1145,forwardv5,0.9788,0.0057,0.9788,0.9644,0.9731,84.03
150,214,0.1226,forwardv5,0.9752,0.0021,0.9752,0.9647,0.9732,83.61
160,224,0.1214,rightv5,0.9896,0.0097,0.9800,0.9715,0.9896,84.74
170,234,0.0974,rightv5,0.9935,0.0121,0.9814,0.9789,0.9935,84.65
180,244,0.0817,rightv5,0.9944,0.0072,0.9852,0.9872,0.9944,83.50
190,254,0.0724,rightv5,0.9920,0.0041,0.9825,0.9879,0.9920,79.04
200,264,0.0599,stopv5,0.9950,0.0121,0.9769,0.9950,0.9829,80.63
210,274,0.0469,stopv5,0.9838,0.0019,0.9756,0.9838,0.9820,72.81
220,284,0.0160,rightv5,0.9765,0.0014,0.9709,0.9751,0.9765,70.53
230,294,0.0147,rightv5,0.9801,0.0034,0.9744,0.9767,0.9801,71.20
240,304,0.0165,rightv5,0.9787,0.0029,0.9735,0.9758,0.9787,71.64
250,314,0.0562,forwardv5,0.9770,0.0060,0.9770,0.9710,0.9710,73.77
260,324,0.0734,forwardv5,0.9828,0.0065,0.9828,0.9755,0.9763,76.27
270,334,0.0865,forwardv5,0.9833,0.0099,0.9833,0.9711,0.9733,77.93
280,344,0.1206,forwardv5,0.9859,0.0063,0.9859,0.9729,0.9796,80.39
290,354,0.1345,forwardv5,0.9798,0.0061,0.9798,0.9638,0.9738,79.55
300,364,0.1543,forwardv5,0.9787,0.0071,0.9787,0.9588,0.9716,78.36
310,374,0.1451,forwardv5,0.9875,0.0041,0.9875,0.9804,0.9834,78.89
320,384,0.1447,rightv5,0.9916,0.0049,0.9867,0.9805,0.9916,76.90
330,394,0.1575,forwardv5,0.9841,0.0124,0.9841,0.9717,0.9656,83.45
340,404,0.1407,forwardv5,0.9817,0.0069,0.9817,0.9629,0.9748,76.70
350,414,0.1463,forwardv5,0.9872,0.0116,0.9872,0.9674,0.9756,79.74
360,424,0.1519,forwardv5,0.9913,0.0076,0.9913,0.9812,0.9837,78.99
370,434,0.1538,rightv5,0.9879,0.0109,0.9769,0.9729,0.9879,77.33
380,444,0.1559,forwardv5,0.9655,0.0141,0.9655,0.9371,0.9513,75.70
390,454,0.1500,forwardv5,0.9840,0.0150,0.9840,0.9690,0.9689,76.07
400,464,0.1420,forwardv5,0.9834,0.0191,0.9834,0.9643,0.9603,73.96
410,474,0.1390,forwardv5,0.9854,0.0142,0.9854,0.9712,0.9570,82.36
